aluguel,areaTotal,areaUsavel,bairro,banheiros,cidade,codImovel,condominio,garagem,idadeImovel,lat,lon,quartos,suite,valorDeVenda
846.0,42,42,Jardim São Vicente,1,Campinas,2944933393,190.0,1,NaN,-22.9415732,-47.024409,2,0,0.0
9500.0,180,140,Vila Madalena,3,São Paulo,2948064476,1760.0,3,25,-23.5521565,-46.69889860000001,3,1,0.0
1000.0,110,110,Centro,1,Osasco,2948680477,698.0,1,NaN,-23.5392186,-46.7806725,1,0,0.0
2120.0,24,24,Cambuci,1,São Paulo,2948858336,200.0,0,NaN,-23.5815928,-46.6164882,1,0,0.0
3060.0,140,140,Higienópolis,2,São Paulo,2948797216,1813.0,1,NaN,-23.5425879,-46.6565041,3,1,0.0
2591.0,75,35,Jardim Paulista,1,São Paulo,2948007787,941.0,1,13,-23.5672487,-46.65416040000002,1,1,0.0
20000.0,300,300,Vila Nova Conceição,0,São Paulo,2942894373,5000.0,4,32,-23.5955584,-46.666809,4,2,6000000.0
1470.0,70,70,Vila Mascote,1,São Paulo,2948663608,834.0,0,NaN,-23.6452136,-46.6678505,2,0,0.0
3800.0,70,70,Itaim Bibi,1,São Paulo,2943996388,1500.0,1,36,-23.5821149,-46.6747713,1,1,0.0
1850.0,38,38,Vila Augusta,1,Guarulhos,2948779101,353.0,1,NaN,-23.4844022,-46.5433831,1,1,0.0
3200.0,300,38,Itaim Bibi,1,São Paulo,2938267750,1100.0,1,20,-23.5815493,-46.676768,1,1,0.0
5500.0,406,215,Vila Mascote,4,São Paulo,2923334587,2200.0,4,15,-23.6479371,-46.664724500000034,3,1,1100000.0
1050.0,66,66,Swift,1,Campinas,2947539518,340.0,1,NaN,-22.9249028,-47.0451513,2,0,0.0
2738.0,45,45,Consolação,1,São Paulo,2948823510,615.0,1,NaN,-23.5508013,-46.6537971,1,1,0.0
2000.0,50,29,Jardins,1,São Paulo,2948407979,1500.0,1,15,-23.5661609,-46.653618800000004,1,1,0.0
1300.0,85,85,Nova Petrópolis,2,São Bernardo do Campo,2947757286,630.0,2,NaN,-23.716331,-46.5468791,2,1,0.0
1330.0,86,86,Picanço,2,Guarulhos,2948779142,450.0,2,NaN,-23.4468741,-46.546006,3,1,0.0
1660.0,170,170,Tatuapé,3,São Paulo,2948671695,1300.0,1,NaN,-23.5413888,-46.5524142,3,1,0.0
2800.0,1285,45,Vila Mariana,1,São Paulo,2948561068,710.0,1,2,-23.5895811,-46.6269953,1,1,0.0
1370.0,85,85,Jardim Bela Vista,2,Santo André,2948814664,600.0,2,NaN,-23.6670267,-46.5491416,3,1,0.0
1100.0,60,60,Jardim Germânia,1,São Paulo,2941434366,500.0,1,NaN,-23.65562629699707,-46.760528564453125,2,0,0.0
8000.0,165,165,Brooklin,5,São Paulo,2946842840,1490.0,3,NaN,-23.611299514770508,-46.69300079345703,3,3,1950000.0
1118.0,50,50,Presidente Médici,1,Ribeirão Preto,2948374302,695.0,1,NaN,-21.1909576,-47.7837205,2,0,0.0
2400.0,70,70,Vila Romana,2,São Paulo,2948603076,1214.0,2,NaN,-23.5421322,-46.6949159,2,1,0.0
4150.0,51,51,Jardins,1,São Paulo,2948055149,900.0,1,1,-23.5658691,-46.6579007,1,1,0.0
4000.0,480,48,Vila Nova Conceição,1,São Paulo,2948645357,1100.0,1,20,-23.5968457,-46.6680067,1,1,0.0
